你和山田君处的怎么样了？|山田君とどうしたの？
破处的证明在静静滴下。|破瓜の証が静かに滴っていた。
啊啊，呜呜呜。哈啊，哈啊|ああ、ううう。ハァ、ハァッ
星奏，抱歉，我|星奏、ごめん。俺
诶嘿嘿。第一次被、被洸太郎君夺走了呢|えへへ。は、初めて、洸太郎君に奪われちゃった
啊|あっ
明明应该非常疼痛的，星奏却笑了，好像在担心我一样。|とても痛かったはずなのに、星奏は俺を気遣うように笑っていた。
让这么好的女生感到痛苦，我的罪恶感变得越来越强烈。|こんなに良い子を苦しめたことに、ますます罪悪感が湧いてしまう。
洸太郎君不用在意的。比起那种事，来接吻吧|洸太郎君、気にしないの。それよりさ、キスして
嗯|う、うん
我温柔地吻她，像是在安慰她一般。|彼女を慰めるように優しくキスをする。
虽然很是过意不去，但能成为她第一次的对象让我感到非常地高兴和激动。|申し訳ない気持ちでいっぱいだけど、彼女の初めての相手になれたことが嬉しくて、胸が熱くなる。
唔，啾|んっ、ちゅ
我非常幸福，因为一直梦想着能够和洸太郎君变成这样|私、とっても幸せ。洸太郎君とこうなること、ずっと夢見てたから
所以，洸太郎君就按你喜欢的方法来动吧。让我尽情感受洸太郎君|だから、洸太郎君の好きなようにいっぱい動いて。いっぱい洸太郎君を、私に感じさせて
星奏|星奏
我一直在挂念着她。|俺もずっと彼女を想ってきた。
然而她应该更加思念着我吧。|でもそれ以上に、星奏は俺のことを想っていたんじゃないだろうか。
因为她的表情是如此幸福。|だって彼女の顔は本当に幸せそうなんだから。
希望能实现喜欢的人的梦想。|好きな人の夢を叶えてあげたい。
没过多久，我就很坚定地这么想了。|俺が強くそう思うのに時間はかからなかった。
我也一直在想着星奏。所以请稳稳接住我的思念吧|俺も星奏のこと、ずっと想ってきた。だから俺の気持ち、しっかり受け取ってくれ
啊，嗯嗯嗯嗯|あっ、んんんん
我保持和她的呼吸和拍，缓缓地开始运动。|彼女の呼吸に合わせるように、ゆっくりと動き出す。
哈啊啊，唔，唔，嗯啊啊|はぁあ、う、う、んああ
怎么样，难受吗？|どう、辛くない？
呼，哈啊。嗯，洸太郎君的动作很温柔，没问题|ふぅ、はぁ。うん。洸太郎君の動き、優しいから、大丈夫
那就好|なら良かった
但她肯定是在硬撑。|でも痩せ我慢しているに違いない。
所以我只能继续温柔地向她传达爱。|だから引き続き、優しく気持ちを伝える。
嗯啊，啊啊。洸太郎君，更激烈点也可以哦。更激烈地动吧|んあ、ああ。洸太郎君、もっといいんだよ。激しく動いてくれて
那样的话洸太郎君，唔，唔。应该会更舒服吧|そ、その方が洸太郎君、ん、んっ。気持ちいいと思うし
没事，别逞强了，我只要和星奏连接在一起就很幸福了|いいんだ別に。俺は星奏と繋がっていられるだけで幸せだからさ
什么啊。你要那么说，我会越来越喜欢你的啊|なに、それ。っ、そんなこと言われたら、ますます私、好きになっちゃうよ
我牵过她的手，引导她接吻。|俺は腕を引かれ、キスへと導かれる。
呼啾，唔，嗯唔|ふちゅ、ん、ンぅ
想要冲散溢出的思念一般热烈的爱情表达。|溢れる気持ちをぶつけるような、熱烈な愛情表現。
我一边紧紧地接受她的思念，一边爱着喜欢的人。|俺はしっかり彼女の想いを受け取りつつ、好きな人を愛していく。
啾，啊啊。哈，哈啊。最喜欢洸太郎君了|ちゅ、ぁぁ。はっ、はぁ。大好き、洸太郎君
包括你最优先考虑我之类的事，我全都喜欢|私のこと、一番に考えてくれるところとか、そういうとこも含めて、ぜ、ぜんぶ好き
我也是，星奏暖暖的地方，包括稍微有些天然而且可爱的地方，全部都最喜欢了|俺だって、星奏のほんわかしたところとか、ちょっと天然でかわいいところとかも含めて、ぜんぶ大好きだ
呜呜呜，太狡猾了。居然列举具体的例子，说喜欢我……|うぅぅ、ずるいよ。具体的なとこあげて、ん、あぁ、好きっていうなんて
不行吗？|ダメだった？
也不是不行。啊，唔。作为女朋友过于高兴，好像身体都变得奇怪了|だめ、じゃないけど。あっ、ンゥ。彼女として嬉しすぎて、なんか体、変な感じ
哈啊，哈啊。唔，唔啊啊|はぁ、ハァー。ん、んああっ
难道星奏开始有感觉了？|もしかして星奏、感じ始めてる？
这么说起来，里面比起一开始更加润滑了。|そういえば始めより、なんか滑りが良いな。
唔，唔唔，呜呜呜。洸太郎君|ン、んん、うぅぅ。洸太郎君
星奏一脸欲求不满的难受表情，好像想说现在这样还不够。|見れば星奏は、これじゃ物足りないとでも言いたげな、切なげな顔をしている。
一定是因为过于害羞而说不出来吧。|きっと恥ずかしくて言い出せないんだろう。
星奏，我能动得更激烈一些吗？|星奏、もっと激しくしてもいい？
嗯。啊啊，和刚才比已经没什么痛觉了，可以哦|うん。あっあぁ、さっきよりだいぶ、痛いの引いてきたし、いいよ
明白了。如果难受的话一定要说啊，好吗？|わかった。もし辛かったりしたら、ちゃんと言って。いい？
真的很温柔呢。难受了我会说的|本当、優しい。その時はちゃんと言うね
所以洸太郎君。唔，让我…更加地舒服吧|だから洸太郎君。んっ、私のこと、っっ……もっと気持ちよく、してぇ
最喜欢的人一脸羞耻地向我请求。|大好きな人が恥ずかしげにお願いしてくる。
我的心里一下子燃起了火。|俺の心に一気に火が灯った。
唔唔唔嗯，啊，啊啊|うぅぅん、あ、ぁああっ
我一点一点加大了摆腰幅度。|徐々にだがストロークを大きくしていく。
她的声音更加娇艳，我心跳止不住地加速。|彼女の声に艶っぽさが増し、嫌でも鼓動が速まってしまう。
呼啊，啊啊。开始触碰到最深处了|ふあ、ぁぁぁ。奥の方まで、届き始めた
啊，啊，啊啊。洸太郎君的硬硬的，大大的那个，到达最深处了啊|あ、あ、ああっ。洸太郎君の、固くて、大きいのが、一番奥、当たってるよぉ
星奏，感觉舒服吗|せ、星奏、気持ちいい？
哈啊，哈啊。嗯，很舒服。每次洸太郎君顶进来，我的身体就像着火了一样发热|はぁっ、はあッ。うん。気持ちいい。洸太郎君に突かれる度に、体、火照っていってる
我明明没有那么激烈，可即使这样星奏好像也很有感觉。|あまり激しくはしてないのだが、それでも星奏は感じてくれているようだ。
她的身体偶尔会忽然一颤，看上去非常可爱。|時折、びくっと体を震わせる様は、見ていてとてもかわいらしい。
比起那个，唔唔唔。洸太郎君怎么样？|それより、っ、ぅぅぅ。洸太郎君は、どうなの？
啊啊，呼，嗯嗯唔唔，有没有用我变得舒服呢？|あぁ、く、んんぅぅ、ちゃんと私で、気持ちよく、なってくれてる？
那是当然。说实话，星奏的里面太舒服，我都有点不妙了|っ、それは、もちろん。正直、星奏のなか、気持ちよすぎてやばい
可能因为蜜水已经扩散开了，现在她的里面黏糊糊的很容易动。|蜜が行き渡ったせいか、彼女のなかはとろとろで、すごく動きやすかった。
而且，肉壁的紧绷感也弱了下来，不松不紧地拥抱着我下面，快感也更上了一层楼。|その上、緊張が解れて程よい締め付けで抱きしめてくるので、快感もひとしおだ。
是吗，那么舒服啊。喜欢的人对我这么有感觉，总觉得非常高兴|そっか。そんなに、気持ちいいんだ。好きな人が、感じてくれてるのって、な、なんか、すごく嬉しいね
星奏这么有感觉，我也非常高兴。只是这样，就连我也变得舒服了|俺も星奏が感じてくれてるの、すごく嬉しい。それだけで、俺まで気持ちよくなる
我把手伸向星奏上下摇动的胸部，温柔地揉着。|俺は上下に揺れる胸へと手を伸ばし、優しく揉みしだく。
呀啊啊。不要一边顶我一边揉我胸啊|ひああん。そんなにつきながら、おっぱい揉んじゃだめぇ
嗯啊啊，啊，啊。太舒服了，H汁止不住地往外溢|んああ、あっ、あっ。気持ちよすぎて、エッチなおつゆ、どんどん出ちゃうよぉ
看来她相当有感觉，下面的紧度也变得更好了。|相当感じてるみたいだな。余計に締りが良くなってる。
拜此所赐，明明我还想为了星奏更加努力，可射精的欲望却慢慢涌了上来。|おかげで、まだ星奏のためにがんばりたいというのに、徐々に射精欲が込み上げてくる。
唔唔。我差不多要不行了|うぅ。俺、そろそろやばいかも
诶？哈啊，哈啊，呜呜呜|え？はあ、はあっ、んんん
星奏可能有些热晕了，没有理解状况。|熱に当てられたのか、状況が分かってない様子の星奏。
不过，看到我在忍耐的表情，她好像理解了，脸变得通红。|しかし、何かを堪える俺の顔を見て理解したのか赤くなる。
嗯唔唔，难道说。啊，啊，精液要出来了吗？|んぅぅ、もしかして。あ、あっ、精液、出ちゃいそうなの？
唔，嗯。因为只是感受到星奏的温暖我就很舒服，我……|う、うん。星奏の温もり、感じてるだけで気持ちよくて、俺っ
是吗，什么啊。哈，哈，唔唔唔。洸太郎君看上去很难受呢|そう、なんだ。はっ、はっ、ううう。洸太郎君、なんかすごく、辛そう
我什么时候都可以哦。洸太郎君觉得可以的时候，呼啊，唔唔，就射出来|私は、いつでもいいよ。洸太郎君がいい時に、ふぁ、っっ、うぅん、出して
但是我想要让星奏更加舒服，唔|でも俺、もっと星奏を喜ばせてあげたい、っ
那种事，下次也可以哦。唔啊，啊哈啊，唔唔。所以今天洸太郎君尽情地舒服吧|それは、今度でいいよ。んあ、あはぁ、うぅ。だから今日は、洸太郎君がいっぱい、気持ちよくなってぇ
是不是因为思念我的心情更加强烈了呢，她的下面变得更紧了。|彼女の俺を想う気持ちが高まるせいか、いっそう締め付けが強まる。
啊，唔唔。星奏，下次我一定会更努力的|あ、くぅぅ。星奏、次は絶対、もっとがんばるから
啊，啊啊啊。嗯，唔唔。嗯|あ、あああっ。んっ、ンぅ。うん
因为星奏的心情让我很开心，我自然地加快了动作。|星奏の気持ちが嬉しくて、自然と動きが速まる。
哈啊，嗯啊，啊，呼啊啊。射出来，唔，唔唔，射出来洸太郎君|はあん、んあ、あ、ふぁあ。出して、ん、んん、出して、洸太郎君
啊，啊，啊，唔，嗯嗯，啊啊啊|あっ、あっ、あっ、ン、んん、あぁぁッ
星奏……！！|星奏っ……！！
欲望涌上来的瞬间，我立即把性器拔了出来。|欲望が込み上げる瞬間、俺は咄嗟に性器を抜き去った。
唔啊，啊啊……！？|んあっ、ぁぁぁ……！？
大脑一片空白的我，如同要弄脏星奏那美丽的肌肤一般在她身上洒满白浊液。|頭が真っ白になる俺は、星奏の綺麗な肌を穢すように、白濁を浴びせていく。
唔，嗯嗯！？啊，好厉害，射个不停|う、んんっ！？あぁ、すごい。どんどん出てる
biubiu的，洸太郎君的热热的，这么多|びゅ、びゅって、洸太郎君の、熱いの、いっぱい！
抱歉星奏。我还没|ご、ごめん星奏。まだ、俺っ
啊啊。唔，唔唔。可以哦，直到洸太郎君满足为止，尽情射在我身上吧|ぁぁあ。んっ、んん。いいよ、洸太郎君が満足するまで、いっぱいかけて
如果是喜欢的人的话，就算被弄得全身脏兮兮的也没什么。唔，啊啊啊|好きな人になら、たくさん汚されても、別にいいから。ん、あああ
星奏没有表现出一丁点的厌恶。|嫌がる素振りも見せない星奏。
切实感受到被她爱着，我感到非常幸福，释放出了更多的精液。|愛されているという実感を得る俺は、とても幸せでさらに精液を吐き出し続けた。
啊，啊啊|あ、あぁぁ
哈啊，哈啊……|はー、はぁー……っ
全部射完之后，我们互相注视。|全てを出し切った後、俺たちは見つめ合う。
事后，很不可思议地，我只要注视着星奏，就比起以前更加激动。|行為の後は不思議なことに、星奏を見つめただけで以前より胸が熱くなる自分がいた。
射出了很多呢|た、たくさん出たね
抱歉。把你弄得这么脏|ごめん。すごい汚しちゃって
星奏温柔地抚摸我的脸。|星奏が俺の頬を撫でてくる。
没事哦。比起那个，不过……太好了|ううん。それより、でも……良かった
你这么珍惜我，我非常幸福哦|とっても大事にしてくれたから、すっごく幸せだったよ
星奏这么夸我，真有些不好意思啊|星奏にそう言われると、照れるな
啊，脸红了。真可爱|あ、赤くなってる。かわいい
诶，诶诶……|え。ええ……
啾，唔唔|ちゅ、んぅ
星奏像是给完成了使命的护花使者奖赏一般，温柔地吻了吻我。|上手にエスコートできたご褒美とでもいうように、優しくキスをされる。
有点痒痒的，不过非常舒适。|なんだかくすぐったいけど、とても心地が良かった。
下次我一定会更努力的|今度はもっと、がんばるから
嗯，我期待着呢|うん、期待してるね
然后，下、下次我也会为了洸太郎君更加努力的|あと。わ、私も次は、洸太郎君のために、もっとがんばるから
嗯……谢谢|うん……ありがとう
重要的人说要为我努力。|俺のために、がんばるという大切な人。
越来越觉得她可爱，我紧紧抱住她好长一段时间都没有松手。|彼女をますます愛おしく感じる俺は、しばらく抱きしめて放さなかった。
D1_05|D1_05
唔……|ん……
……呼|……ふぅ
醒了。|目覚める。
早上了。|朝だ。
……|……
去学校吧。|学園に行こう。
……|……
不知不觉地想起了昨天发生的事。|ぼんやりと、昨日の出来事を思い出す。
毫无疑问，那是初体验。|あれは紛れもない、初体験。
据说经历过初体验后世界就会改变。|初体験を終えたら、世界がかわるっていう。
真的是那样吗？|本当にそんなことがあるのかな？
我有没有稍微长大一点呢？|少しは大人になれたのかな？
早上好|おはよー
男学生A|男子生徒Ａ
早上好|おはよー
女学生B|女子生徒Ｂ
这周的龙珠看了吗？|今週のドラゴンポール見た？
男学生A|男子生徒Ａ
看了看了。终于界王拳也超越一万倍了|見た見た。とうとう、カイオウケンも、一万倍をこえてきたな
男学生B|男子生徒Ｂ
嘛，为了和海贼王对抗的话，这种程度也是必要的呢|まぁ、海賊王に対抗するためには、それくらい必要だよな
男学生A|男子生徒Ａ
我说，最近光之美少女啊|さいきん、ブリキュアがさぁ
女学生A|女子生徒Ａ
光之度又增加了呢|ブリ度があがってきたよね
女学生B|女子生徒Ｂ
……|……
怎么回事呢。|なんだろう。
班里同学看起来比平时更像小孩子。|クラスメートが、いつもより子供に見える。
那些对话莫名的可爱，然而却不感兴趣。|その会話は妙にかわゆくて、けど、興味がわかない。
是因为我变成大人了吗。|俺が大人になったということなのかな。
洸太郎……可以打扰下吗？|洸太郎……ちょっといい？
是志乃。|志乃だ。
和平时不同，她用认真的表情看着我。|らしくなく、真剣な顔で俺を見下ろしていた。
跟我来。这里有人|こっち。人目があるから
啊，啊|あ、あぁ
我站起来，跟了上去。|立ち上がり、ついていく。
我说洸太郎|ねぇ洸太郎
怎么了啊，马上就上课了|なんだよ、授業はじまるぞ
你，变成大人了吧？|あんた、大人になったね？
……什么|……なんだって
那是什么。什么意思啊？我可没有吸烟哦|そ、それって何。どういう意味だ？煙草なんて吸ってないからな
没在说那个|そんなんじゃない
你知道了吧。进入热带雨林深处的秘境，沐浴花朵盛开的理想国的慈爱，听到了极乐鸟欢喜的呻吟吧|あなたは知ったんでしょう。熱帯雨林の奥の秘境に分入って、花咲き誇るエルドラドの慈愛に浴して、極楽鳥が歓喜の呻きをあげるのを聞いたんでしょう
那就是大人的证明|それつまり、大人の証明よ
比起大概是看穿了我的初体验的志乃，她的语气让我大为困惑。|どうやら俺の初体験を看破しているらしい志乃よりも、その語り口に、おおいに戸惑った。
志乃……你……没事吧？角色定位什么的|し、志乃……お前、なんか……大丈夫？キャラとか
没问题哦|大丈夫よ
总之加入到了大人的你已经没有必要在教室里待了。因为你有了去那里的资格|とにかく大人の仲間入りをしたあなたが、あの教室にいる必要はないわ。あなたは、あそこに行く資格があるんだから
那里是指……|あそことは……
只有大人才能去的地方|大人だけが行ける場所だよ
咕咚。|ごくり。
我咽了一口口水。|俺は唾を飲み込んだ。
只有大人能去的地方……是怎么回事啊。|大人だけが行ける……場所ってなに。
志乃就这样带我来到了体育馆前。|そのまま、志乃は俺を連れて体育館の前までやってくる。
体育馆？体育馆里到底有什么？|体育館？いったい、体育館に何があるんだ？
大人的王国|大人王国よ
各位，我来介绍一下新的大人。这是国见洸太郎|皆、新しい大人を紹介するわ。國見洸太郎よ
……那里的每个人都略微惊讶地用有些倦怠地表情看了过来。|ほう……っと、そこにいた面々が、少しけだるそうにこちらに顔を向ける。
有和我一样的学生制服，有西装，不知为何还有穿着泳衣的女性，各种各样的人都有。|俺と同じ学生服から、スーツ姿、なぜか水着姿の女性まで、顔ぶれは様々だ。
不知是什么时候志乃换了衣服，成了西装打扮。|いつの間に着替えたのか、志乃もスーツ姿に変わっている。
欢迎来到大人的世界|ようこそ、大人の世界へ
女性A|女性Ａ
欢迎哦，国见洸太郎君|歓迎するよ、國見洸太郎君
男性A|男性Ａ
呃，谢谢|ど、どうも
这里每个人都和教室里的少年少女们风格不同。|その誰もが、クラスにいた少年少女とは、風情が違っていた。
有蓄着胡子的，有脖子上戴着方巾的。|髭をたくわえていたり、首にスカーフをかけたり。
还有打了发胶的（学校规则禁止），总之他们都有某个地方很特别。|ツーブロック（校則で禁止）にしていたり、とにかくどこかしら、特別だった。
就算是我也有点兴奋了。|さすがに俺もわくわくしてきた。
在那里的人们对坐在位子上的我简略打了招呼后，又回到了他们的对话。|そこにいた人達は、席についた俺に軽く会釈をすると、話の続きに戻る。
结果……|結局……
男性A|男性Ａ
人们有各自的正义|人それぞれ正義がある
男性A|男性Ａ
我懂|分かる
男性B|男性Ｂ
结果……|結局……
男性A|男性Ａ
人生就是狩猎啊|人生は狩りさ
男性A|男性Ａ
我懂|分かる
男性B|男性Ｂ
结果……|結局……
男性A|男性Ａ
最重要的是人和人之间的联系啊|大事なのは、人と人とのつながりだよ
男性A|男性Ａ
我懂|分かる
男性B|男性Ｂ
……|……
总觉得，应该说很无聊……还是怎么说呢。|なんか、つまらないというか……なんというか。
呐，志乃|な、なぁ志乃
然后呢，说到理想国|それで、エルドラドがね
志乃在说关于理想国的话。|志乃はまだエルドラドについて話していた。
志乃|志乃
什么？|なに？
这就是大人的世界吗|これが、大人の世界なのか
是啊|そうよ
国见！让我们听听你成熟大人的意见吧|國見君！君の大人な意見をきかせてくれ
男性A|男性Ａ
诶诶！？|ええ！？
……|……
大家|一同
我被非常多人注目着。|すっごい注目されている。
那个……|あの……
就比如人们善良不是为了别人。干的好事，做的坏事，最后都会回到自己头上的……到头来|情けは人のためならず、みたいな。良いことも悪いことも、自分に返ってくる……ような気がします。結局
嚯嚯|ほっほー
男性A|男性Ａ
我懂我懂|分かる分かる
女性A|女性Ａ
善良不是为了别人呢|情けは人のためならずだよね
男性A|男性Ａ
……|……
总觉得，不对。|なんか、ちがう。
这种，能称为大人吗？|こういうの、大人って言うの？
我先告辞了|俺、ちょっと失礼します
我为了从这种奇怪的气氛中逃走，站在了墙角。|妙な雰囲気から逃れるように、俺は壁際に立っていた。
洸太郎君！|洸太郎君！
星奏！？|星奏！？
为什么在这里？|なんでここに？
不，比起这个……|いや、それより……
昨天，那个……|昨日は、その……
辛苦了|お疲れ様でした
扭扭捏捏。|もじもじ。
不要在这种时候扭捏啊！|こんなときにもじってしないの！
我是来救你的|助けに来たんだよ
诶|え
如果在这里的话，洸太郎君就会变得不再是洸太郎君的|ここにいたら、洸太郎君が、洸太郎君でなくなってしまう
嗯。那个我好像很能理解，志乃也变得很奇怪|う、うん。それはなんか、よく分かる。志乃もおかしいし
那就走吧|じゃぁ、行こう
但是志乃……|でも、志乃が……
你听说过吗？理想乡的深处有一个上帝坐镇的地方|あなた聞いたことある？エルドラドの奥には、ゴッドが鎮座するスポットがあることを
那边正热衷于猥亵的谈话或是什么的意义不明的对话。|向こうで猥談なのかなんなのか分からない会話に興じていた。
之后一定会来救志乃的|きっとあとで助けに来るから
我被星奏的拉着手，踉踉跄跄地离开了那里。|星奏の手に引かれるまま、俺はよろよろとその場を後にする。
他逃走了|逃げたぞ
男性A|男性Ａ
那家伙，想要返回童心啊|あいつ、童心に返るつもりだぞ
男性B|男性Ｂ
看来他们好像注意到为了不暴露而在人群中穿梭的我们了。|バレないようにそっと人と人の間をすり抜けていた俺たちに気付いたらしい。
呜啊啊啊啊|うああああ
我感到要是这样被抓住的话就再也回不去了，于是拼命地跑。|このまま捕まったら、もう戻れない気がして必死に走った。
体育馆的门就在眼前了。|体育館の扉はもう目の前だ。
带回来|連れ戻せ
为什么是志乃在下指令？|なぜか志乃が指示を出している。
那家伙是这个集会的什么人？|あいつ、この集会の何なんだ？
千钧一发时门关上了。|すんでのところで扉が閉まる。
哈啊……|はぁ……
我大大地叹了一口气。|俺は大きく息を吐く。
到底是什么啊？|一体、なんだったんだ？
那是大人的王国|あれは大人王国
大人的王国？|大人王国？
因为洸太郎君来到了不同的世界哦|洸太郎君は違う世界にきてしまったんだよ
然后我，我是这个世界的入口……|そして私が、私がこの世界の入り口だったの……
那就是说……那个，因为做了吗？|それって……その、しちゃったから？
……是呢|……そうね
我想着她会害羞，不想却得到了冷静的回答。|照れるかと思ったら、クールに返された。
sex|セックス
！？|！？
因为做了呢|しちゃったからね
因此，你的世界本身发生了改变。变成了大人的世界……最终这个世界全部都会被大人所支配吧|そのせいで、あなたの世界そのものが変わってしまったわ。大人の世界に……。やがてこの世界全体が、大人に支配されるでしょう
这算什么啊|なんてことだ
能清楚说出sex这个词的星奏也是，这算什么啊。|セックスって、すごいはっきりとした発音で言う星奏にも、なんてこった。
这样的世界真讨厌啊|こんな世界はいやだなぁ
想回去吗？|戻りたい？
嗯。虽然说还是没能清楚掌握事态，不过我想要离开这个莫名其妙的地方|う、うん。というかイマイチ事態が把握できてないけど、こんなわけのわからないところからは、脱出したい
这样，那样的话……|そう、だったら……
……|…………
怎么了？|ど、どしたの？
既然你是通过我来到这里的话……出去的办法，你也明白吧|私を通ってここに来たということは……出る方法も、分かってるよね
咕咚|ごくり
我不自觉地咽了一口唾液。|俺は思わずつばを飲み込んだ。
我知道了|わかってる
那就|じゃぁ
我轻轻地把手放在星奏的肩膀上，把脸贴近。|俺はそっと、星奏の肩に手をかけて、顔を接近させる。
唔……|んー……
贴近脸后，嘴唇像漫画里那样突出来要求接吻，非常的让人不快。|顔を近づけると、唇が漫画みたいに突き出てキスを求めだしたのが、すごく気持ち悪い。
……|にゅー……
你在干什么啊！|なにするのよ！
唔诶诶？？|うええ？？
因为，既然是通过星奏而来到的，那就再进去……|だって、星奏を通って入っていったんだから、また入ったらって……
既然是通过我而成为大人的，再通过我不是只会更加地变成大人吗？|私を通って大人になったんなら、私を通っても、さらに大人になるだけでしょう？
啊，嗯？是这样的道理吗？？|あ、うん？そういう理屈？？
但是那样的话，我怎样才能回去……之前是从前面进去的，要再从后面进去试试吗|でも、それじゃぁ、どうしたら。……前から入ったから。後ろから入ってみるとか
你是不是傻啊！？|ばかじゃないの！？
额。|うぅ。
也就是说——|つまり──
不知何处传来的新的声音。|いずこからか、新たな声が響く。
通过我就可以回去了|俺を通っていくってことさ
凉介？？？|涼介？？？
把我丢在一边，自己去了大人的世界，太狡猾了哦洸太郎|俺を置いて、大人の世界にいくなんてずるいぜ、洸太郎
就算是成为大人的时候也要一起，我们不是这么约定过很多次吗|あれほど、大人になるときは一緒だって、約束したじゃないか
我没有定下过这种约定|そんな約束はしていないっ
听好了洸太郎。姬野同学是你成为大人的入口|いいか良く聞け、洸太郎。姫野さんは、お前が大人になるための入り口だった
而我，则是出口|そして、出口は俺なんだ
…………|…………
唔，嗯？那是什么意思……我进入凉介的里面什么的……？哈哈，不会吧……|う、うん？それってどういう……。俺が、涼介の中に入る的な……？はは、まさか……
就是那样|その通り
诶诶诶诶诶诶|ええええええ
sex|セックス
星奏！？你说什么！？|星奏！？なんなの！？
哇哈哈哈哈。来吧，通过我变回孩子吧，洸太郎|わはははは。さぁ、俺を通って、子供にかえるんだ、洸太郎
不，不要——|い、いや──
来吧，来吧，来吧|さぁ、さぁ、さぁ
一起回到小孩的世界————|一緒に子供の世界へかむばーーーーっく
呀啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊|ぎゃああああああああああああああああああ
哈|は
…………|…………
…………|…………
……哈。|……は。
梦？|夢？
诶，星奏？|ってか、星奏？
早上好|おはよう
早上……好|おは……よう
凉介他……|涼介が……
贵志君？|貴志君？
啥来着，感觉做了一个非常奇怪的梦。|なんだっけ。すごく妙な夢を見ていた気がする。
不，与那相比，要弄清现在的状况才行。|いや、それより今はこの状況だ。
为什么星奏在我的房间？|なんで星奏が、俺の部屋に？
昨天……做了那种事……可星奏没就那样住在我家吧。|昨日……あれをして……そのまま、泊まっていったわけじゃないよな。
那个，为什么你在这里？|あ、あの、どうしてここに？
诶嘿嘿……那个，昨天……我把东西忘在这里了|えへへ……あの、昨日……忘れ物しちゃって
啊，这样|あ、あぁ
事后星奏赶在在菜子回来之前，匆忙地回去了。|ことが終わって菜子が帰ってくる前にって、あわただしく星奏は帰っていった。
小小的化妆包就那样放在了这里。|小さなポーチを置きっ放しにしていってしまったな。
然后我来取时，菜子就说请让我上来|それで取りにこさせてもらったら菜子ちゃんが、あがっていってくださいって
菜子呢？|菜子は？
出门了哦|出かけたよ
……嗯嗯|……ふむ
虽然我明白菜子今天早早地出门了，可是为什么星奏在这里？|菜子が早めに出かけたのは分かるとして、それでなんで、星奏が？
那个啊。菜子说让我来叫醒你……然后……|あ、あのね。菜子ちゃんに起こしておいてって言われたんだ……それで……
星奏突然对这个状况感到害羞，一边后退一边辩解着。|急にこの状況が恥ずかしくなったのか、後ずさりしながら、弁解するように言う星奏。
唔嗯……|ふむ……
我明白了是菜子拜托星奏来叫醒我……|菜子が星奏に、起こしてくれるよう頼んだのは分かるとして……
比平时晚了很多呢|いつもより、だいぶ遅い時間みたいだね
钟表已经转到了8点15分。|時刻はもう、８時１５分をまわっている。
离上课只有30分钟了。|始業まで、３０分ほどしかない。
啊哈哈|あはは
因为你睡着的表情看上去很幸福，所以我就没叫醒你|なんかすごい幸せそうな顔で寝てるから
唔……|う……
我大脑渐渐清醒了，忽然感到很不好意思。|頭もはっきりしてきて、急に恥ずかしくなってきた。
虽然没有女生那么纤细，可没想到刚醒来时毫无防备的表情，竟被刚交往没多久的喜欢的人看到。|女の子ほど繊細じゃないが、寝起きの無防備な顔を、付き合って間もない好きな子に見られるとは。
那就应该硬下心叫醒我啊|そ、そこは心を鬼にして、起こしてくれよ
我很不好意思地把头摆向一边，说道。|恥ずかしくてそっぽを向きながら、話す。
抱歉抱歉|ごめんごめん
不过在等你醒的时候，我用剩下的东西稍微做了些饭|でも、待ってる間、余り物でちょっとしたご飯作ったんだよ
你做了早饭？|朝ご飯を？
……下到一楼，起居室里飘着和平时的早饭完全不同的味道。|……一階に下りてくると、リビングにはいつもの朝餉とは、また全然違う匂いが漂っていた。
明明用的是同样家里的材料和调料，香味会变得完全不同啊。|同じ家にある材料と調味料を使っているはずなのに、匂いは、まったく違うものになるんだな。
我开动了|いただきます
我开动了|いただきます
和星奏两个人的饭桌。真不可思议。|星奏と、二人の食卓。不思議だ。
……|……
……|……
星奏……筷子用的真熟练啊。|星奏って……箸を上手に使うんだなぁ。
我为这种事而感动了。|なんてことに感心してしまう。
不，比起这个……|いや、それよりも……
昨天和她……做了呢。|昨日、彼女と……しちゃったんだよな。
她的嘴唇，她制服下的隆起……然后，还有更多更多的地方，和我融为了一体。|あの唇も、あの制服の下のふくらみも……そして、もっともっといろんなところと、俺はひとつになった。
唔……只是想着这样的事，我下腹部就一下子变得燥热亢奋。|う……そんなことを考えるだけで、下腹部の方に、どくんと熱い高まりが生まれる。
大早上的我在想些什么啊。|朝から俺は何を考えているんだ。
那个|あのさ
嗯？|うん？
……身体没事吧？|……体調とか、大丈夫？
嗯？嗯。为什么这么问？没问题啊|うん？うん。なんで？大丈夫だけど
星奏不知道有没有理解我想说的话，茫然地点了点头。|俺の言わんとしていることが分かったのか分かってないのか、きょとんとうなずく。
……真好喝啊。这个味噌哪里有卖呢|…………おいしいねぇ。このお味噌、どこで売ってるのかな
这是商店街的八百七家的味噌哦|商店街のやお七さんにあるミソなんだよ、これ
诶|へぇ
……|……
身，身体没问题是什么意思啊|た、体調大丈夫って、どういう意味かな
太慢了。|遅いよ。
不，那个|いや、その
没问题哦……什么也没有哦……|大丈夫だよ……なにも、ないよ……
那就好|な、ならいいけど
……|……
……|……
因为我的话题，餐桌上的气氛彻底变得奇怪了。|俺がふった話のせいで、食卓は完全に妙な空気になってしまった。
那个|あの
